	I213_B_31	I213_B_32	I213_B_33	I213_B_41	I213_B_42	I213_B_43	I213_B_51	I213_B_52	I213_B_53	I213_C_31	I213_C_32	I213_C_33	I213_C_41	I213_C_42	I213_C_43	I213_C_51	I213_C_52	I213_C_53
STN4L_01365	14278	12448	11625	19922	13733	13114	24738	17476	19470	14856	9576	13639	16297	14622	12454	17294	16392	12584
STN4L_01366	17452	14760	14598	27002	17832	18188	31783	22682	25629	17533	10988	15383	19727	18396	16253	23901	21477	16652
STN4L_01367	25184	21412	22230	38304	26771	26664	45983	31229	34361	28596	18443	23790	31255	28727	25510	33127	30958	24408
STN4L_01368	14432	11976	10443	18827	12354	12960	21897	16133	17654	14490	9763	12232	14359	14256	12263	14382	13609	10851
STN4L_01369	18713	16671	14656	23846	18119	18798	27068	20791	21199	20405	13296	15894	18471	17917	15005	16734	15524	13510
STN4L_01370	14835	12218	12021	18696	12960	14106	19887	15749	15915	14427	10868	11766	13800	13857	11708	11659	12063	8690
STN4L_01371	28279	23352	20757	32432	23388	22821	36106	26653	26228	24633	18611	20334	24516	24757	20555	20295	21324	15360
STN4L_01372	21388	19147	18887	29769	25471	23940	31031	24126	22681	21226	17010	18373	22275	26013	21899	16176	19373	12355
STN4L_01373	12394	11895	12465	16848	15963	14544	18379	13244	13888	14137	13974	14593	12250	14400	12537	8939	10595	7112
STN4L_01374	5	10	9	8	4	10	11	11	7	6	9	9	8	12	7	12	13	8
STN4L_01375	8183	7992	8078	8297	6358	5798	5572	4489	4275	11777	9849	10621	7181	6946	6048	2764	3354	2401
STN4L_01376	10	7	2	5	6	3	9	8	8	5	9	10	3	4	3	9	10	4
STN4L_01377	9	10	17	9	24	24	28	25	24	7	5	19	22	27	11	20	15	15
STN4L_01378	41874	35038	43847	62231	51812	50735	83407	59602	71971	48603	44685	42909	50541	55103	46469	58703	56099	59119
STN4L_01379	42332	38129	40859	54985	48614	48723	67596	50125	61556	39417	32853	40084	42012	45634	39524	49845	44533	44717
STN4L_01380	26152	25518	21861	28327	23383	23168	27860	19847	27899	20721	16412	23171	20234	24848	20202	32031	27047	30340
STN4L_01381	1040	609	836	1149	700	744	1375	841	1102	722	551	558	837	1161	1094	1252	1082	947
STN4L_01382	22842	22209	19564	19343	16050	13529	11905	9350	11466	23794	18324	20863	14737	14994	10813	9640	10134	8315
STN4L_01383	15	19	12	9	19	9	9	10	5	18	17	11	9	22	13	14	14	11
STN4L_01384	1	3	1	10	8	5	1	0	1	5	0	6	20	10	17	0	2	2
STN4L_01385	6803	5592	7836	7968	7335	6088	8090	5459	6010	11080	8603	9026	9967	10065	9150	6930	6399	4431
STN4L_01386	42395	40338	43806	51313	45391	37481	38427	29267	32481	55926	43580	59333	52168	48410	43401	33627	29068	24255
STN4L_01387	1126	989	956	1188	969	882	1600	1126	1532	1281	1010	1267	972	1012	936	1152	905	985
STN4L_01388	55	56	49	58	66	53	80	56	65	67	52	87	52	63	42	49	42	44
STN4L_01389	25422	21413	20204	25439	20861	17571	21150	16043	19295	25241	20025	22867	21744	21737	20063	17614	16358	15820
STN4L_01390	14662	13292	12375	16010	12759	11221	13529	10058	12169	14874	10487	13682	12625	12781	11558	10518	9727	9000
STN4L_01391	2596	2005	2361	2782	2138	2223	3163	2426	2978	2856	2044	2626	2530	2588	2255	2511	2077	1831
STN4L_01392	20225	16543	16626	22090	16139	16420	22202	16475	20727	21023	15885	17873	16474	17432	15054	15318	14324	14175
STN4L_01393	57727	49428	48415	55937	45376	40175	44052	33929	40474	54570	41758	46964	43166	45094	40058	34561	34351	31614
STN4L_01394	20302	18954	18218	22067	17984	16864	13926	10285	10472	23229	17143	22161	20044	19561	18274	11272	11881	9675
STN4L_01395	4475	4207	5155	5060	4120	3652	3192	2189	1908	5656	5344	4706	4482	4347	4284	1237	1745	1279
STN4L_01396	326	312	349	329	268	215	201	130	167	459	382	458	293	316	275	108	126	102
STN4L_01397	13719	13514	11880	15581	12084	11674	9708	8788	8977	13942	10291	13911	11150	11897	9395	6153	6793	6629
STN4L_01398	44132	40611	40136	52856	40419	34281	31908	27293	27803	50314	39600	45738	45300	40661	37808	23160	25143	19628
STN4L_01399	0	0	1	4	1	2	3	4	5	6	2	2	3	3	6	2	9	6
STN4L_01400	53	67	37	78	60	55	76	75	76	64	33	51	150	98	112	128	109	87
STN4L_01401	165839	119159	118039	183288	138181	140752	122949	103161	105042	144235	110330	116472	136172	162309	135732	80566	115167	70534
STN4L_01402	2531	2141	2005	2082	1589	1517	1721	1613	1744	2400	2264	2497	1965	1947	1605	1280	1291	1242
STN4L_01403	6548	5476	4867	4400	3677	3330	2459	2431	2333	5994	4751	5463	3910	4185	3605	1685	2106	1558
STN4L_01404	19318	15919	14840	15206	12624	11855	7155	6345	6122	16978	14677	15834	12538	14526	12065	5137	6865	4243
STN4L_01405	313	305	267	418	292	313	159	168	153	379	268	310	371	370	318	111	110	103
STN4L_01406	164	163	144	226	201	199	102	90	52	208	172	207	215	266	213	51	87	78
STN4L_01407	16	7	17	28	10	13	16	16	4	22	24	14	28	22	32	5	6	9
STN4L_01408	262	188	214	354	264	247	115	104	69	284	182	236	294	319	260	70	102	64
STN4L_01409	53	31	51	97	68	67	34	25	31	111	88	66	92	100	105	22	21	21
STN4L_01410	57576	46630	41282	43644	35242	30485	17305	15816	14100	48058	34676	42305	31095	37339	29864	9602	12785	8688
STN4L_01411	597	542	630	718	634	564	849	635	861	574	576	565	575	664	706	791	615	624
STN4L_01412	95	84	52	65	88	71	98	88	113	63	54	58	59	55	61	79	47	77
STN4L_01413	56	66	61	76	53	39	69	63	64	44	59	65	46	92	58	74	63	61
STN4L_01414	36	36	29	38	30	23	31	23	36	17	17	22	34	41	29	33	29	25
STN4L_01415	130	130	98	93	101	107	66	83	83	175	171	205	96	88	79	37	50	32
STN4L_01416	4331	3749	4293	4249	3862	3322	2333	1873	1838	6079	4932	5916	3789	3873	3427	1389	1426	1518
STN4L_01417	2007	1743	1968	2414	1993	2057	2105	1637	1869	2337	1988	2144	1926	2127	1809	1333	1253	1317
STN4L_01418	25488	22489	22432	29008	24808	23310	13477	11943	11593	32357	23211	29958	26889	28857	25408	9143	10751	7646
STN4L_01419	1360	1232	1319	1521	1166	1107	765	671	649	1481	1268	1431	1346	1413	1228	520	674	443
STN4L_01420	332	342	333	310	205	207	109	107	111	548	549	610	310	307	271	69	102	56
STN4L_01421	256	278	263	232	227	203	125	87	104	375	363	477	322	311	230	106	124	76
STN4L_01422	494	544	580	333	296	234	129	110	130	838	695	797	312	285	233	75	75	75
STN4L_01423	133	150	185	114	74	59	52	46	39	232	200	198	127	93	110	34	21	42
STN4L_01424	89	104	118	66	64	62	59	38	36	199	202	172	86	57	66	15	18	16
STN4L_01425	5	3	3	0	3	3	0	1	0	5	6	5	1	3	0	1	0	1
STN4L_01426	686	673	889	1365	1156	973	951	650	710	1451	1091	1333	1433	1324	1212	723	654	573
STN4L_01427	312	319	281	531	353	319	380	274	271	563	380	551	560	430	474	283	227	224
STN4L_01428	1486	1309	1805	2776	2167	2246	2156	1396	1613	3299	2195	2546	3027	2915	2509	1609	1561	1116
STN4L_01429	276	279	313	528	478	393	417	248	303	694	496	523	631	547	508	361	311	268
STN4L_01430	828096	622474	628989	1487205	1099836	1092196	2126937	1501114	2071606	714440	486728	611811	1223360	1122823	1090598	2082091	1579840	1824063
STN4L_01431	451529	370720	329195	867508	706467	717500	1257130	853558	1122158	481224	307800	407438	692385	680364	609373	1106152	858272	1000425
STN4L_01432	624	551	524	467	509	407	226	242	223	1009	775	1217	589	643	639	252	259	258
STN4L_01433	1615	1656	1517	1517	1377	1087	669	609	767	2991	2576	3311	2046	2055	1864	734	907	800
STN4L_01434	26268	22032	18438	23168	20335	17359	19748	17662	19876	28226	20285	23275	19979	20460	18333	13098	13892	12849
STN4L_01435	26487	22694	22196	27227	21536	19517	19771	16631	17202	30164	21192	26953	23130	23205	20353	13417	14844	11496
STN4L_01436	6495	6228	5167	6900	5134	4352	5403	4506	4423	8113	6278	6889	6460	5745	4631	3119	3445	2982
STN4L_01437	10211	9430	8959	10599	8161	7617	8090	6618	7393	11376	10658	12023	8475	8424	6788	4445	4909	3827
STN4L_01438	23	26	17	19	11	12	24	16	10	32	7	22	51	29	31	24	16	23
STN4L_01439	12007	9579	12970	13236	10445	10180	8429	6028	6819	21558	16285	15390	13225	14054	12504	5137	5480	4293
STN4L_01440	36482	32678	32274	38037	33108	30884	19164	14150	14635	47707	35110	41932	34600	35135	33096	13931	14205	13152
STN4L_01441	112853	88966	87460	98849	75386	69457	53475	45292	42652	112709	78097	92377	77110	83237	70052	26249	31304	20788
STN4L_01442	693	755	700	917	788	814	2793	2252	2460	1045	830	935	884	1032	1215	1903	2377	1610
STN4L_01443	571	552	550	609	685	541	1836	1407	1777	722	520	621	698	822	884	1653	1773	1418
STN4L_01444	819	827	752	805	723	666	2412	1992	2558	1018	830	892	836	900	1073	2007	2298	1957
STN4L_01445	32	28	26	32	34	37	105	93	128	45	40	46	46	45	66	111	106	97
STN4L_01446	556	464	424	509	427	345	1578	1258	1565	655	568	635	498	574	619	1297	1402	1132
STN4L_01447	792	812	737	655	618	484	316	274	303	1230	1021	1429	662	581	482	228	251	196
STN4L_01448	3949	3156	2959	4059	3107	2976	4693	3578	4740	4364	3668	3868	2990	3172	2416	3551	2986	3662
STN4L_01449	3425	2762	3004	4400	3385	3445	4702	3338	4523	4192	3441	3705	3601	4138	3507	4747	4420	3784
STN4L_01450	1441	1387	1186	1948	1535	1382	1914	1363	1965	1709	1515	1660	1305	1656	1309	1729	1542	1706
STN4L_01451	8189	7797	6943	7528	6812	5403	4488	4283	3491	10944	8551	9284	6638	6337	6032	2165	2498	2160
STN4L_01452	7815	8239	6641	7547	6653	4859	3701	3286	2702	9944	6612	8252	6773	5616	5138	1950	2108	1859
STN4L_01453	3775	3914	3309	3985	3042	2419	2267	1786	1528	5101	3356	4038	3870	2763	2678	1088	1220	956
STN4L_01454	49	48	64	79	85	112	577	309	597	119	73	97	116	117	116	723	565	601
STN4L_01455	507	511	488	821	755	698	1190	799	1219	451	378	550	630	741	662	1191	1020	985
STN4L_01456	49	33	47	95	98	68	179	114	175	53	76	48	67	109	108	172	124	188
STN4L_01457	115	91	103	173	109	137	200	142	186	155	102	121	155	138	163	217	192	181
STN4L_01458	31	42	43	40	36	43	69	36	75	45	34	43	54	45	51	93	38	62
STN4L_01459	21	26	27	24	21	24	27	25	27	15	14	31	23	28	31	36	22	31
STN4L_01460	89	109	73	121	117	109	127	110	157	86	63	97	110	145	90	162	114	98
STN4L_01461	108	133	125	187	164	163	209	176	185	154	81	134	188	226	151	301	242	190
STN4L_01462	71	87	42	84	74	98	118	86	100	61	58	66	70	89	64	94	92	99
STN4L_01463	0	4	0	1	5	4	2	4	9	1	0	0	3	2	2	4	5	7
STN4L_01464	32	10	15	21	30	26	31	22	37	24	17	24	33	26	23	31	52	20
STN4L_01465	1	8	1	2	1	2	6	4	1	0	3	4	0	5	2	4	3	8
STN4L_01466	25	22	32	40	32	31	48	37	48	28	15	23	28	40	36	59	28	38
STN4L_01467	32	19	24	31	33	20	29	19	25	46	43	46	40	47	43	35	26	20
STN4L_01468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_01469	1	2	3	1	1	2	4	2	2	0	2	2	5	6	6	0	0	0
STN4L_01470	30612	22237	22624	29376	20638	20180	14438	11608	13277	28615	18245	22576	25710	24958	21487	10616	11718	9904
STN4L_01471	9836	8069	7224	9630	6961	6955	4580	3522	3665	9807	5668	7301	9802	8745	7433	3750	3717	3662
STN4L_01472	44638	32210	31952	42123	30937	29609	18942	15408	16674	43594	25999	30828	36529	35660	29756	13627	14841	12988
STN4L_01473	42875	31511	33382	40891	28859	27681	15895	13049	13393	42055	25293	29223	37654	35630	31318	12284	14008	11060
STN4L_01474	29374	19038	21848	25782	17025	17114	10854	8511	8629	30429	18675	19631	23815	23457	19346	6754	7972	6219
STN4L_01475	13480	12664	11501	10673	9576	7336	4278	4258	3809	15704	12717	14506	9079	8522	7536	2073	2879	2105
STN4L_01476	18339	16949	18451	15540	12462	11299	7277	5955	5556	23593	18953	21707	13526	12389	10407	3190	4096	3119
STN4L_01477	60	68	48	89	87	121	97	102	89	62	47	55	51	101	78	95	55	28
STN4L_01478	1597	1456	1580	1576	1134	1093	1103	912	1029	1883	1699	1832	1455	1294	1222	715	765	607
STN4L_01479	6276	6663	5858	6085	5405	4033	3872	2814	3847	9284	7085	9300	5402	4685	4144	3942	3042	3838
STN4L_01480	2159	1944	1679	1502	1330	989	1034	873	1136	2741	1863	2416	1210	1162	1116	889	718	871
STN4L_01481	6	4	7	6	3	7	11	6	9	9	1	8	5	10	9	7	13	6
STN4L_01482	593	654	797	956	971	887	1151	928	1276	908	534	836	971	896	985	1103	1006	934
STN4L_01483	177	196	224	273	321	251	367	314	426	306	244	268	343	323	391	345	398	314
STN4L_01484	181	132	183	219	186	169	155	127	136	272	216	321	281	229	184	114	142	99
STN4L_01485	12302	10203	10312	6976	6606	5585	4093	3600	4811	15875	9567	11483	5375	6740	5402	2906	2953	2514
STN4L_01486	2372	2333	2378	661	503	380	257	205	258	3469	3320	3855	675	638	484	202	202	259
STN4L_01487	4768	3755	3650	7116	5932	5160	8328	6106	7883	4429	3426	3970	5259	6025	5081	8343	7581	7583
STN4L_01488	20661	16376	17926	24770	17508	17111	27914	20429	23696	16304	13924	15523	16872	20286	17484	19539	18595	17416
STN4L_01489	10686	9677	10249	11198	9348	9405	6163	5079	5959	13842	12022	13581	9903	11662	9464	4981	6489	4021
STN4L_01490	317	282	311	408	330	312	443	307	409	327	259	377	356	325	353	491	321	379
STN4L_01491	26	16	25	22	10	12	33	22	21	25	11	20	22	14	21	16	11	14
STN4L_01493	22	18	24	22	17	17	32	20	25	23	25	23	26	32	26	24	22	17
STN4L_01494	94	93	74	113	107	103	133	88	126	103	85	136	84	80	92	88	71	88
STN4L_01495	4163	3563	3330	3335	2432	2489	2360	1895	2154	3078	2445	3014	2457	2704	2262	1446	1467	1191
STN4L_01496	56255	43381	41501	49760	39458	39533	40639	31822	34235	41825	31086	35282	34654	41700	34016	23809	27312	18445
STN4L_01497	528	375	320	427	206	232	326	249	330	620	348	326	261	189	187	200	222	183
STN4L_01498	422	360	402	486	370	362	502	391	487	436	392	498	339	435	370	364	300	339
STN4L_01499	38	38	27	33	16	31	47	32	47	43	20	40	22	29	24	28	21	20
STN4L_01500	43	50	39	59	56	43	61	62	66	67	45	46	61	55	43	44	32	31
STN4L_01501	3461	2975	2713	2360	2072	2072	2463	1825	2200	3263	2418	2939	2125	2273	1994	1960	1788	1548
STN4L_01502	9638	9367	7940	8102	7442	7119	8161	5657	7388	11086	8261	9584	7014	7705	6727	6737	5897	5518
STN4L_01503	2383	2273	2085	2133	2153	2047	2391	1429	1936	3270	2558	2990	2018	2292	1897	2025	1669	1613
STN4L_01504	3439	3447	3159	3083	2664	2940	3892	2381	3145	5219	3986	4754	2873	3133	2524	2607	2316	2358
STN4L_01505	9881	9145	6964	8381	7171	6567	6245	4933	5529	9664	6589	9706	6462	7363	6451	5024	5280	3790
STN4L_01506	25979	31025	36833	38260	31323	28960	23665	17414	16955	43972	37940	44264	37683	34159	29378	13451	16053	11173
STN4L_01507	105608	86724	97950	82807	66607	52891	26463	25379	21029	120474	98925	105310	79377	80136	75893	15290	20309	15211
STN4L_01508	3622	3602	3643	5095	4610	4136	6235	4187	5710	4408	3748	4631	3372	4093	3224	4996	4943	4374
STN4L_01509	423	354	305	317	313	296	353	335	367	488	450	527	298	351	256	248	247	200
STN4L_01510	5	0	4	1	2	5	8	3	9	5	4	8	5	9	8	6	1	4
STN4L_01511	100	94	113	167	123	121	373	207	328	115	121	106	144	146	157	421	246	381
STN4L_01512	20577	15634	14322	21567	16274	16822	22755	16581	23825	16687	12511	14406	14499	16760	14838	20167	16317	18460
STN4L_01513	188	172	246	324	178	179	109	95	75	258	258	241	264	265	198	70	79	88
STN4L_01532	379	428	643	614	559	462	345	254	266	426	420	495	414	430	341	209	225	197
STN4L_01533	1013	897	1210	1264	813	892	643	553	597	1068	876	911	887	878	727	419	419	419
STN4L_01534	7122	6607	7714	7755	6123	5932	3942	3053	3590	6198	5464	5892	5356	5956	4930	2908	2672	2451
STN4L_01535	8811	7839	8239	9406	6909	6721	4561	3333	3711	8464	7432	7960	6402	6869	5860	3123	2933	2555
STN4L_01536	18727	15368	14641	24886	17304	17406	28312	20393	25548	21315	14517	17961	22854	21022	21270	23774	21014	18999
STN4L_01537	375180	294787	306372	559989	398302	381032	762060	501018	740549	323180	224925	264703	484079	474897	465983	956942	763224	807311
STN4L_01538	117000	88280	107051	175898	136450	136155	279855	177569	264126	90541	65806	73627	158951	176304	164988	362412	291513	274586
STN4L_01539	35733	26811	28187	52120	38309	37509	60474	42945	57584	25548	21071	22004	40473	46875	45053	67349	58150	67891
STN4L_01540	3277	2557	2792	3888	2832	2792	4178	3063	3500	2060	1750	2087	2893	3107	2851	3647	3182	2435
STN4L_01541	6010	4676	4378	6309	5199	5272	8569	6366	7328	4324	3477	3881	4499	5143	4561	5436	5142	4517
STN4L_01542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
STN4L_01543	1227	970	971	1543	1131	1309	2086	1420	1846	1197	878	886	1080	1312	1157	1266	1114	1130
STN4L_01544	14115	11174	10190	12508	9525	8961	7192	6182	6962	14400	12203	11953	9154	10615	8464	4425	4916	4236
STN4L_01545	8582	6212	8146	9445	6405	6379	5466	4226	4606	10839	9854	8961	6413	8028	6912	3414	3429	2946
STN4L_01546	654	731	571	925	870	817	1303	1128	1844	744	476	664	709	806	701	1326	1082	1255
STN4L_01547	842	921	767	1343	1272	1139	2114	1653	2583	1102	786	1079	1222	1179	1258	2143	1742	2368
STN4L_01548	334	265	362	527	407	409	896	648	1009	526	397	457	489	485	473	707	624	809
STN4L_01549	337	284	361	540	439	352	851	568	784	395	339	320	418	434	381	633	554	649
STN4L_01550	48	34	43	61	55	59	102	62	84	39	33	44	57	70	54	93	72	104
STN4L_01551	169	145	122	210	155	159	303	214	335	155	106	106	151	167	127	290	212	242
STN4L_01552	139	92	184	226	138	140	193	109	116	124	115	127	250	304	299	358	303	183
STN4L_01553	1798	1418	2055	2790	2297	2232	3455	2156	3050	2043	1670	1563	2317	2908	2593	3754	3495	2875
STN4L_01554	43	16	28	75	51	48	94	70	70	30	31	35	58	91	60	85	65	53
STN4L_01555	94	88	122	198	149	169	212	144	172	122	100	110	141	180	154	154	136	134
STN4L_01556	545	589	668	792	791	787	752	570	782	1104	845	994	803	1000	814	808	933	721
STN4L_01557	85	62	65	83	100	89	106	80	95	132	104	148	73	95	100	97	91	99
STN4L_01558	613	588	640	983	885	919	1102	775	1031	1262	1156	1206	848	1013	899	784	986	862
STN4L_01559	569	666	703	1020	925	836	1183	734	1001	1109	989	1189	1001	987	964	1001	1053	881
STN4L_01560	1035	958	1284	1796	1595	1526	1886	1330	1562	1722	1623	1947	1732	1923	1842	1508	1938	1339
STN4L_01561	164	171	198	321	238	269	261	186	251	261	242	277	226	263	280	170	239	114
STN4L_01562	42	42	41	52	37	45	57	38	55	81	69	102	68	51	52	22	25	29
STN4L_01563	4	9	8	7	6	8	5	4	6	22	8	19	12	13	13	3	1	5
STN4L_01564	31001	25055	28668	22815	16643	18416	14801	11821	13885	39226	26496	33582	21704	24739	22254	11752	11267	6342
STN4L_01565	184639	177187	157831	144518	140705	107927	67141	52085	55085	202941	160855	196368	120753	132118	113912	61135	58518	54340
STN4L_01566	22814	20665	20000	15596	12885	12611	21279	14306	20223	20569	17892	18401	12698	14474	13517	17811	14283	14465
STN4L_01567	1936	1746	1872	2392	1771	1731	2541	1802	1975	1955	1480	1751	1979	2292	1843	2512	2213	1677
STN4L_01568	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	3
STN4L_01569	13362	11178	10087	12200	9335	9001	12696	9795	11754	11798	8209	11462	9408	10261	8704	9414	8798	7372
STN4L_01570	7856	7765	8711	9572	8442	7824	9605	6576	7433	9966	7818	9191	8393	8318	7373	7234	6885	4931
STN4L_01571	7798	7485	6513	9063	7171	7577	8737	5825	7280	9174	7477	8962	6555	7954	6580	6259	6334	5121
STN4L_01572	289	257	333	388	309	293	248	166	175	431	321	402	442	454	411	238	240	148
STN4L_01573	216	243	239	294	262	217	157	134	119	276	205	324	167	266	265	128	94	97
STN4L_01574	67	54	62	76	71	72	61	54	53	113	96	104	77	86	89	61	35	40
STN4L_01575	1520	1140	1733	1821	1576	1466	1055	865	834	2390	1862	2349	1485	1754	1699	577	739	473
STN4L_01576	14443	13042	14259	16255	15192	12823	8397	7092	6832	19203	15008	17193	15255	15891	15061	5340	6688	4905
STN4L_01577	9293	7848	6858	8802	7333	6539	4422	4013	3829	10432	6801	8305	7213	7699	6496	2490	3212	2393
STN4L_01578	10184	8786	9553	11891	10362	8762	5847	5434	4871	14243	10700	12383	10546	9824	9290	3475	4217	3589
STN4L_01579	28125	25128	24407	28731	23243	20585	14598	12601	11742	32632	26654	28818	24479	22953	19226	7406	8469	6976
STN4L_01580	8354	9911	9910	10238	8433	7250	6246	4840	5618	10170	8532	10325	9815	8315	6987	5046	4374	4171
STN4L_01581	13	12	15	21	11	15	55	29	48	22	19	18	27	17	38	57	60	58
STN4L_01582	208	136	185	249	242	215	381	260	426	191	167	179	148	211	195	386	365	367
STN4L_01583	123	81	188	202	168	109	111	47	79	163	157	142	206	265	193	145	177	150
STN4L_01584	416	491	430	542	444	361	438	336	374	584	426	539	456	451	393	392	345	320
STN4L_01585	463	401	438	443	293	334	359	307	329	433	287	423	360	407	367	308	344	224
STN4L_01586	837	818	877	920	803	700	855	613	780	948	707	821	819	804	717	839	771	738
STN4L_01587	52673	42206	40348	66536	48173	47762	59865	44580	51397	54960	41160	46527	52530	55182	47013	43893	44639	37732
STN4L_01588	8437	7245	7176	11823	9215	9454	11134	7888	8644	9870	8672	8908	8605	10294	8809	7051	7277	6753
STN4L_01589	1272	1239	1005	1048	779	779	995	725	741	1168	1070	1371	936	835	637	469	554	407
STN4L_01590	46775	37176	36157	31742	25931	21453	10722	9867	9475	54707	38597	45672	27431	29168	25939	6717	8071	6980
STN4L_01591	53236	48678	42095	37882	33227	26632	11123	10315	9672	69798	47220	62301	31634	31907	26083	5817	7138	6508
STN4L_01593	149	145	120	81	51	70	41	31	43	133	100	145	65	69	40	24	32	15
STN4L_01594	121	126	128	76	80	61	36	35	27	123	91	97	52	61	42	25	18	23
STN4L_01595	9	5	8	6	5	7	10	2	9	13	6	9	4	15	6	6	3	8
STN4L_01596	1	1	1	4	4	2	3	2	2	1	1	1	3	3	1	3	1	6
STN4L_01597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_01598	2	2	0	7	3	1	1	1	2	1	0	2	4	6	0	0	2	1
STN4L_01599	853	667	632	632	457	437	511	441	441	742	497	706	503	454	484	298	298	292
STN4L_01600	339	353	303	294	213	214	220	192	172	444	269	296	210	247	197	104	129	69
STN4L_01601	90	68	109	106	55	47	84	51	60	178	98	91	62	82	83	28	57	36
STN4L_01602	309	265	263	300	215	160	255	211	207	390	299	317	264	227	194	107	122	114
STN4L_01603	14627	12621	12665	13439	10489	9557	9151	7383	6750	17011	12505	13857	11077	10468	9029	4103	5731	3635
STN4L_01604	14061	12524	12460	15610	12999	12149	6171	5612	5095	19681	17193	20597	12142	14556	12191	4002	4297	4100
STN4L_01621	19925	18888	20603	17847	15492	14754	13973	12199	11939	17603	16351	16117	12620	13337	11265	6749	6579	6533
STN4L_01622	23530	20314	18642	22659	18138	17150	18449	14769	13843	19121	14303	16431	17426	17954	15451	10226	11710	7900
STN4L_01623	30415	24837	23390	33323	26235	24819	27221	20311	19341	25816	20071	23702	26681	28985	25725	18551	20759	13954
STN4L_01624	4803	4089	4847	5324	4448	3858	4122	3059	3121	5253	4190	4805	4487	4538	4288	3285	3038	2372
STN4L_01625	5046	4458	3633	4470	3475	3048	2749	2189	2205	3902	2657	3655	3478	3489	2777	2338	2196	2005
STN4L_01626	803	671	1055	1349	1150	910	1696	1268	1367	930	893	826	1174	1280	1129	1420	1245	1397
STN4L_01627	13791	11099	11345	13373	10386	9283	9921	7521	7824	10287	8140	9587	9249	10851	9213	7182	7563	6237
STN4L_01628	1362	1232	1325	1336	1091	952	1107	822	808	1474	1371	1436	1043	1045	937	593	514	576
STN4L_01629	119	136	127	88	96	89	80	80	116	124	102	122	75	99	78	98	96	102
STN4L_01630	110	100	59	89	77	52	66	68	85	110	71	63	79	69	50	67	61	85
STN4L_01631	14347	11704	12017	18314	14056	13628	12902	10764	10482	16770	11751	14058	13470	14128	11771	7364	7790	6321
STN4L_01632	3605	2726	2899	4725	3203	3296	3235	2452	2640	3443	2529	3456	3216	3784	3203	2313	2439	1582
STN4L_01633	3431	2856	2859	4496	3545	3478	3850	2744	3112	4126	2800	3152	3293	3649	3138	2765	2660	2409
STN4L_01634	23754	19492	17913	26562	19077	18030	24395	18870	20671	21340	15738	17452	19084	19738	17066	15994	16796	12922
STN4L_01635	130	108	128	164	155	142	268	211	301	332	318	342	178	166	179	139	137	174
STN4L_01636	21261	14960	16131	18201	17388	15674	10842	9387	12420	35568	24522	29873	14576	18137	15207	8796	9724	7823
STN4L_01637	2580	2311	2985	2801	2867	2456	1613	1420	1766	6974	4678	5148	2530	2872	2542	1109	1257	1073
STN4L_01638	1	0	1	3	5	1	2	0	1	6	3	1	2	1	4	0	0	0
STN4L_01639	4169	3264	3655	4007	3499	3003	2016	1900	2294	8381	6110	6858	3415	3664	3141	1442	1645	1302
STN4L_01640	16562	11439	14265	15515	13442	12098	6001	6184	7266	32429	25136	26062	12412	13585	11470	4084	5174	3530
STN4L_01641	5750	3864	4819	4844	3785	3508	1745	1740	1881	9464	6904	7544	3532	3954	3142	1083	1414	1014
STN4L_01642	15028	10178	10962	10948	8045	7941	3905	3892	4364	22706	17199	17423	7929	9221	7152	2304	3116	2189
STN4L_01643	23	35	29	37	35	27	73	54	56	39	30	29	46	49	40	59	50	55
STN4L_01644	45	39	59	71	51	74	68	50	62	76	60	80	52	73	63	53	54	44
STN4L_01645	30	21	36	41	32	28	51	27	20	28	29	35	25	36	28	41	30	32
STN4L_01646	35	32	21	38	37	45	52	27	55	78	56	44	36	61	44	32	37	37
STN4L_01647	17841	12043	13132	13199	14201	13578	5746	5461	9242	41683	25230	33166	10022	16387	13050	5430	5122	4767
STN4L_01648	3403	2516	2622	2449	3027	2775	1301	1303	2106	8962	5589	6808	2163	3015	2589	1222	994	1124
STN4L_01649	11077	7969	7821	8991	10630	9814	4678	4534	7101	29232	20352	25473	8210	10744	9097	3896	3656	3406
STN4L_01650	11632	8133	10608	11242	13105	11104	5677	5413	8139	33782	23516	26002	10928	13539	12702	5284	5236	4353
STN4L_01651	28079	19642	25415	27164	23171	19143	11868	11208	15192	57681	47596	46658	23161	23138	22176	11011	9758	10403
STN4L_01652	8830	6979	7291	7309	4767	5860	3565	2996	3673	17425	17399	14500	5203	6388	5460	2780	2453	3423
STN4L_01653	307	204	332	288	222	215	194	145	158	460	404	380	236	237	212	118	112	89
STN4L_01654	7493	6541	5964	5901	4627	4739	2983	2133	2575	8453	6019	7455	5074	5111	4446	2375	2294	2243
STN4L_01655	2556	2521	2479	1968	1575	1436	1088	835	1017	3535	3226	3612	1643	1710	1551	770	730	755
STN4L_01656	8550	8147	6936	5268	4967	4390	2915	2017	2580	9596	8190	10165	4460	4677	4134	1920	2113	1823
STN4L_01657	14604	13159	15542	14530	11348	10716	13049	9462	12194	20209	18158	20550	12170	12275	11507	10394	9797	7630
