	I213_B_31	I213_B_32	I213_B_33	I213_B_41	I213_B_42	I213_B_43	I213_B_51	I213_B_52	I213_B_53	I213_C_31	I213_C_32	I213_C_33	I213_C_41	I213_C_42	I213_C_43	I213_C_51	I213_C_52	I213_C_53
STN4L_short_405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_406	0	0	1	1	5	0	2	1	0	0	1	0	2	2	2	0	0	5
STN4L_short_407	18129	17088	18918	21666	18294	18953	16384	10689	12875	20444	15256	22218	20508	21861	17879	15514	13382	8533
STN4L_short_408	75	61	82	51	39	43	21	26	15	124	98	143	45	39	30	6	19	10
STN4L_short_409	52	46	87	58	34	34	33	22	21	98	96	166	72	84	71	38	28	22
STN4L_short_410	4	0	1	5	0	9	2	4	7	4	2	2	3	4	1	3	1	3
STN4L_short_411	5	14	7	12	12	7	10	11	13	17	36	21	18	13	22	9	9	8
STN4L_short_412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_413	9	7	12	24	14	28	72	73	70	10	3	10	21	26	20	31	41	24
STN4L_short_414	64	78	67	85	66	64	107	66	89	142	115	75	88	89	83	54	70	50
STN4L_short_415	1063	839	1009	1248	953	1012	802	576	587	1511	1243	1481	1117	1200	1149	394	403	320
STN4L_short_416	950	807	854	977	703	616	435	374	305	1082	790	988	716	746	667	246	269	179
STN4L_short_417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_419	6	3	4	15	12	14	8	3	3	15	7	14	19	14	18	6	7	4
STN4L_short_420	0	0	0	2	1	1	2	2	1	0	0	2	0	1	1	0	2	0
STN4L_short_421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_422	7	11	13	8	20	10	22	15	21	17	20	16	35	21	23	16	18	16
STN4L_short_423	6	9	10	14	17	7	14	9	12	14	8	10	9	11	7	15	13	3
STN4L_short_424	5	5	6	16	18	11	11	9	9	7	8	23	20	15	16	8	8	3
STN4L_short_425	3	2	1	6	5	4	11	6	3	4	3	5	20	11	9	6	18	3
STN4L_short_426	9	7	9	10	0	10	10	4	13	11	4	16	11	14	6	11	4	3
STN4L_short_427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_428	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
STN4L_short_429	5	7	12	7	18	4	13	15	5	12	12	14	13	14	8	14	12	7
STN4L_short_430	6	7	3	3	6	12	9	7	18	13	5	6	9	6	6	10	22	11
STN4L_short_431	0	7	7	4	3	1	2	1	3	7	3	2	13	8	8	2	4	0
STN4L_short_432	24	24	26	51	31	25	46	26	41	24	34	21	39	41	47	37	41	42
STN4L_short_433	23	15	17	18	13	20	20	34	29	15	16	28	10	39	30	15	14	12
STN4L_short_434	1	0	0	8	1	2	2	3	4	5	0	3	6	1	10	3	6	1
STN4L_short_435	13	9	20	22	14	25	35	24	30	14	26	16	31	26	11	24	25	13
STN4L_short_436	1405	1210	1533	2773	2081	1815	3257	2103	2523	2281	1691	1386	3127	2670	2887	3277	2976	2913
STN4L_short_437	0	1	5	8	6	6	11	8	5	5	7	3	10	9	6	4	13	7
STN4L_short_438	9	4	16	15	12	17	24	16	26	14	9	12	8	37	22	25	35	13
STN4L_short_439	1	1	1	4	1	0	0	0	0	2	0	3	0	0	0	0	0	0
STN4L_short_440	3	0	0	0	0	3	2	1	0	1	0	1	2	2	1	0	0	0
STN4L_short_441	13	13	8	28	13	10	23	13	21	23	9	11	14	9	10	9	10	14
STN4L_short_442	2	0	1	0	0	1	3	0	3	1	1	0	1	1	0	3	2	0
STN4L_short_443	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
STN4L_short_444	4	2	1	1	1	2	2	3	4	1	2	4	4	4	3	3	2	4
STN4L_short_445	27	18	19	14	13	24	25	24	32	34	5	31	19	16	15	21	21	13
STN4L_short_446	8	1	18	14	16	12	20	3	18	19	25	23	21	24	35	15	11	18
STN4L_short_447	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_448	0	0	1	4	0	0	0	0	2	0	2	4	7	1	2	0	0	1
STN4L_short_449	5	10	9	12	14	13	4	9	11	19	14	19	23	20	20	6	15	2
STN4L_short_450	5	0	0	3	3	5	3	6	6	5	2	4	6	4	6	4	15	7
